n,time(s)
1,1.900000006571645e-05
2,2.9000000040468876e-05
4,5.699999996977567e-05
8,0.000105000000075961
16,0.00020900000004075991
32,0.0003570000001218432
64,0.0005250000001524313
128,0.0010519999998450658
256,0.0021469999999226275
512,0.004177999999910753
1024,0.008364000000028682
2048,0.016638000000057218
4096,0.03325599999993756
8192,0.06713999999988118
16384,0.13308600000004844
32768,0.26738000000000284
