n,time(s)
1,0.5577717000000006
2,0.5479899000000017
4,0.5605413000000027
8,0.5411729000000008
16,0.5455934999999954
32,0.5674808000000013
64,0.5287122000000011
128,0.5499239000000073
256,0.5445282000000077
512,0.5322224000000005
1024,0.5550593999999961
2048,0.5570782000000036
4096,0.5674133000000069
8192,0.5374894999999981
16384,0.5275373999999999
32768,0.5390206000000035
