n,time(s)
1,0.05774799999926472
2,0.1086490000016056
4,0.21694299999944633
8,0.41159699999843724
16,0.7773230000020703
32,1.4396510000005946
64,2.7779000000009546
128,5.220657000001665
256,9.82187999999951
512,18.596929999999702
1024,34.36294700000144
2048,59.17417900000146
4096,116.45832299999893
8192,207.0846960000017
16384,385.8850650000022
32768,698.8383089999988
