q,time(s)
2,0.0001959335937504747
4,0.0001544062500004606
8,0.00018628906250046928
16,0.00023079687499795443
32,0.0002770937499969178
64,0.0003865429687514993
128,0.0023693398437504704
256,0.0022139921875004714
512,0.002640898437499442
1024,0.0024134218750004738
2048,0.0024804140625004634
4096,0.0028410468750004747
8192,0.0036588437500004733
16384,0.004498675781250461
32768,0.0073607265625030005
