q,time(s)
1,0.004077850000007857
2,0.0053112600000054045
4,0.007044389999991836
8,0.009350890000009713
16,0.01174113999999463
32,0.014482140000004619
64,0.017627269999993585
128,0.01981847000000016
256,0.023661109999989095
512,0.0279575600000112
1024,0.035912389999998594
2048,0.050196540000008553
4096,0.08032662000001664
8192,0.1379224599999975
16384,0.25515597999999956
32768,0.4893905199999881
