q,time(s)
1,0.002411540000007335
2,0.00369691999999759
4,0.005308860000002369
8,0.007159050000011575
16,0.009912369999995008
32,0.012289019999996072
64,0.01500268000000915
128,0.017586500000011256
256,0.019856730000005884
512,0.02278462999999874
1024,0.02539769999998498
2048,0.02774621999998999
4096,0.03001969000000372
8192,0.03263930999999957
16384,0.03575537000000395
32768,0.03887304000000086
