q,time(s)
1,0.004088570000001255
2,0.00537804999998798
4,0.00700193000000354
8,0.00886618000000226
16,0.01163217000000941
32,0.014026610000003074
64,0.016761979999996582
128,0.019368070000000445
256,0.021653870000004644
512,0.024602709999981015
1024,0.027218109999992066
2048,0.02957586000001129
4096,0.03184834999998884
8192,0.034481970000013004
16384,0.037639210000008916
32768,0.04075629000001072
