m,time(s)
2,4513.909944
4,1150.478698
8,291.5029600000007
16,74.95459599999958
32,20.567426999999952
64,5.956822000000102
128,2.0441949999994904
256,0.8876729999992676
512,0.5187729999997828
1024,0.38380400000005466
2048,0.33538099999987026
4096,0.33944100000007893
8192,0.32333999999991647
