q,time(s)
2,9.651953124745205e-05
4,9.277734374890656e-05
8,6.885156249936131e-05
16,0.00016561718749841248
32,0.00020858593750006094
64,0.00044407031249704687
128,0.0033162617187478816
256,0.00938899999982823
512,0.024061999999503314
1024,0.05011899999954039
2048,0.11258200000065699
4096,0.2527430000000095
8192,0.7132860000001529
16384,1.91658599999937
32768,6.00325200000043
